[2026-04-05T10:01:09.915+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:09.916+0000] {logging_mixin.py:190} INFO - [!] Đã đẩy 8 bản ghi lên Kafka!
[2026-04-05T10:01:27.907+0000] {protocol.py:1210} WARNING - Server warning: Read 6473 live rows and 73960 tombstone cells for query SELECT custom_track, job_id, ts FROM keyspace_name.tracking WHERE ts > 2026-04-05 10:01:09.000000 AND  LIMIT 5000; token 9195679333969409888 (see tombstone_warn_threshold)
[2026-04-05T10:01:27.912+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:27.914+0000] {logging_mixin.py:190} INFO - [!] Đã đẩy 1 bản ghi lên Kafka!
[2026-04-05T10:01:42.961+0000] {protocol.py:1210} WARNING - Server warning: Read 6507 live rows and 73960 tombstone cells for query SELECT custom_track, job_id, ts FROM keyspace_name.tracking WHERE ts > 2026-04-05 10:01:10.000000 AND  LIMIT 5000; token 9195679333969409888 (see tombstone_warn_threshold)
[2026-04-05T10:01:42.966+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.967+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.967+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.967+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.967+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.967+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.967+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.967+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.967+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.967+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.968+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.969+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.969+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.969+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
[2026-04-05T10:01:42.969+0000] {logging_mixin.py:190} INFO - [V] Đã đẩy lên Kafka: Topic tracking_events
